vi,vi Room Number,vi Room Name,vi Room Unique ID,vj,vj Room Number,vj Room Name,vj Room Unique ID,Access,Connecting Centroids Distance
326,HP4140M,OFFICE HP4140M,7d28afc0-14ff-4e4b-a1a6-46e8b8ac765e-0044d6a1,325,HP4140U,OFFICE,7d28afc0-14ff-4e4b-a1a6-46e8b8ac765e-0044d693,1,70.85845481
326,HP4140M,OFFICE HP4140M,7d28afc0-14ff-4e4b-a1a6-46e8b8ac765e-0044d6a1,316,HP4140X,OFFICE,7d28afc0-14ff-4e4b-a1a6-46e8b8ac765e-0044d688,1,100.6084452
326,HP4140M,OFFICE HP4140M,7d28afc0-14ff-4e4b-a1a6-46e8b8ac765e-0044d6a1,317,HP4140S,OFFICE,7d28afc0-14ff-4e4b-a1a6-46e8b8ac765e-0044d689,1,51.02512927
326,HP4140M,OFFICE HP4140M,7d28afc0-14ff-4e4b-a1a6-46e8b8ac765e-0044d6a1,318,HP4140N,OFFICE,7d28afc0-14ff-4e4b-a1a6-46e8b8ac765e-0044d68a,1,10.19190751
326,HP4140M,OFFICE HP4140M,7d28afc0-14ff-4e4b-a1a6-46e8b8ac765e-0044d6a1,319,HP4140P,OFFICE,7d28afc0-14ff-4e4b-a1a6-46e8b8ac765e-0044d68b,1,20.10850542
326,HP4140M,OFFICE HP4140M,7d28afc0-14ff-4e4b-a1a6-46e8b8ac765e-0044d6a1,320,HP4140T,OFFICE,7d28afc0-14ff-4e4b-a1a6-46e8b8ac765e-0044d68d,1,60.9417914
326,HP4140M,OFFICE HP4140M,7d28afc0-14ff-4e4b-a1a6-46e8b8ac765e-0044d6a1,321,HP4140R,OFFICE,7d28afc0-14ff-4e4b-a1a6-46e8b8ac765e-0044d68e,1,41.10846933
326,HP4140M,OFFICE HP4140M,7d28afc0-14ff-4e4b-a1a6-46e8b8ac765e-0044d6a1,322,HP4140Q,OFFICE,7d28afc0-14ff-4e4b-a1a6-46e8b8ac765e-0044d68f,1,30.60848117
348,HP-C41A,ADMIN CORR. HP-C41A,59e9e32b-1657-4963-9de1-b02ee200fb61-00479bef,342,HP4011,TOILET,0d260a51-9937-4198-9d34-e7c16045e406-00476806,1,33.69662989
348,HP-C41A,ADMIN CORR. HP-C41A,59e9e32b-1657-4963-9de1-b02ee200fb61-00479bef,343,HP4110U,CONF(12),0d260a51-9937-4198-9d34-e7c16045e406-0047680f,1,76.30911962
348,HP-C41A,ADMIN CORR. HP-C41A,59e9e32b-1657-4963-9de1-b02ee200fb61-00479bef,346,HP4110A,CONF(8),0d260a51-9937-4198-9d34-e7c16045e406-00476d8e,1,34.51557455
626,HP-C60C,CORRIDOR HP-C60C,4f93459d-87bb-438e-8ed8-b827dc809597-016effb2,622,HP6330,MULTIPATIENT SIMULATION,6395fdc8-7d96-46bd-a0bc-28ab67edeec9-00be7941,1,39.1392779
626,HP-C60C,CORRIDOR HP-C60C,4f93459d-87bb-438e-8ed8-b827dc809597-016effb2,534,HP6340,DEBRIEF,8e7d43a9-a54b-4f51-a3ff-67e3eea2c904-002bcbc4,1,27.13356592
626,HP-C60C,CORRIDOR HP-C60C,4f93459d-87bb-438e-8ed8-b827dc809597-016effb2,605,HP6344A,STORAGE,33afc0de-f027-4dda-bf80-d356d9ea8ac9-00726c95,1,14.50128396
626,HP-C60C,CORRIDOR HP-C60C,4f93459d-87bb-438e-8ed8-b827dc809597-016effb2,592,HP-ST-601,STAIR 01,10da9b0b-831f-4221-ac76-9ea0eb3a245e-004af2a7,1,22.33911039
626,HP-C60C,CORRIDOR HP-C60C,4f93459d-87bb-438e-8ed8-b827dc809597-016effb2,572,HP6329,SUPPLY,6773639c-9b42-4945-ba92-0031657181cc-00423869,1,15.51810755
626,HP-C60C,CORRIDOR HP-C60C,4f93459d-87bb-438e-8ed8-b827dc809597-016effb2,521,HP6344,SIM: MH,8e7d43a9-a54b-4f51-a3ff-67e3eea2c904-002bcb1a,1,14.74709216
626,HP-C60C,CORRIDOR HP-C60C,4f93459d-87bb-438e-8ed8-b827dc809597-016effb2,611,HP6002,EAST ATRIUM,51f08de2-ad15-4e7b-8e66-908d05da8f7a-0089be27,1,61.84201251
174,HP3140E,STAFF OFFICE HP3140E,a045cbcc-5edf-4c28-9d40-49ae37617c41-003ba9a4,145,HP3140C,STAFF OFFICE,8af813fe-4ad8-4237-a09d-88f50defaa59-00349df0,1,21.14808354
174,HP3140E,STAFF OFFICE HP3140E,a045cbcc-5edf-4c28-9d40-49ae37617c41-003ba9a4,146,HP3140D,STAFF OFFICE,8af813fe-4ad8-4237-a09d-88f50defaa59-00349df2,1,10.42129686
174,HP3140E,STAFF OFFICE HP3140E,a045cbcc-5edf-4c28-9d40-49ae37617c41-003ba9a4,91,HP3140F,STAFF OFFICE,20d7622d-978b-49e2-a948-380dc195da73-002d53ee,1,10.10977597
174,HP3140E,STAFF OFFICE HP3140E,a045cbcc-5edf-4c28-9d40-49ae37617c41-003ba9a4,127,HP3140B,STAFF OFFICE,19efacc1-ae3b-4e9f-99ca-6fedd68a9eba-0031affe,1,31.94434374
549,HP6208,DEBRIEF HP6208,8a8ed395-d2d4-4bca-9433-fa2bac1c2409-002d94a0,532,HP6206,DEBRIEF,8e7d43a9-a54b-4f51-a3ff-67e3eea2c904-002bcbc0,1,17.50550945
549,HP6208,DEBRIEF HP6208,8a8ed395-d2d4-4bca-9433-fa2bac1c2409-002d94a0,533,HP6204,DEBRIEF,8e7d43a9-a54b-4f51-a3ff-67e3eea2c904-002bcbc2,1,34.74004879
549,HP6208,DEBRIEF HP6208,8a8ed395-d2d4-4bca-9433-fa2bac1c2409-002d94a0,539,HP6202A,SUPPLY/EQUIPMENT STORAGE,8a8ed395-d2d4-4bca-9433-fa2bac1c2409-002d92f9,1,35.72664051
549,HP6208,DEBRIEF HP6208,8a8ed395-d2d4-4bca-9433-fa2bac1c2409-002d94a0,540,HP6202,MANIKIN PREP,8a8ed395-d2d4-4bca-9433-fa2bac1c2409-002d92fb,1,50.34833197
549,HP6208,DEBRIEF HP6208,8a8ed395-d2d4-4bca-9433-fa2bac1c2409-002d94a0,537,HP6210,PREBRIEF,8a8ed395-d2d4-4bca-9433-fa2bac1c2409-002d92ed,1,19.82995029
249,HP4312,CLASSROOM HP4312,bddf1669-ea15-4c5e-a2a9-34e4075e83bc-002bfe1f,376,HP4005,PUBLIC (STAIR),8df684a3-eb47-49ac-8d34-df8266b25986-004ce63c,1,110.1567533
69,HP-C20A,PUBLIC CORR. HP-C20A,0cfb6f7a-39e0-4c8a-9afd-a6993cdcc558-0089c727,65,HP2014,TOILET,ebb6b8fe-2b37-4fd6-94c3-78ab74a5f3ea-006bf4bc,1,50.7221802
69,HP-C20A,PUBLIC CORR. HP-C20A,0cfb6f7a-39e0-4c8a-9afd-a6993cdcc558-0089c727,55,HP-ST-203,STAIR,01dcde21-cacf-4769-a509-88c3cf060c87-004ac94c,1,32.73598094
69,HP-C20A,PUBLIC CORR. HP-C20A,0cfb6f7a-39e0-4c8a-9afd-a6993cdcc558-0089c727,51,HP2010A,JAN,462e8ff1-7afd-4920-8777-43fbe4ebeffb-004a0e37,1,23.1862119
494,HP5017,DATA HP5017,a05fb23f-c6e1-479f-a1ac-3774cb666868-005b1c22,433,HP-C50A,PUBLIC CORR,1be918ec-db3a-4534-adaf-065dcd88540e-003bcf03,1,33.01221662
