Step,AgentID,Starting Node,Current Node,Path,Agent Type
1,176,228,9,"[228, 209, 81, 225, 136, 231, 210, 206, 55, 69, 41, 69, 55, 206, 373, 488, 489, 433, 461, 501, 514, 402, 239, 70, 10, 8, 18, 29, 9]",Student
1,177,255,9,"[255, 394, 302, 441, 501, 461, 433, 489, 488, 373, 206, 55, 69, 41, 69, 55, 206, 373, 488, 489, 433, 461, 501, 514, 402, 239, 70, 10, 8, 18, 29, 9]",Student
1,178,421,159,"[421, 490, 517, 499, 433, 463, 489, 488, 373, 206, 210, 201, 202, 214, 159]",Student
1,179,154,600,"[154, 214, 202, 201, 210, 206, 55, 69, 41, 69, 55, 206, 373, 488, 593, 613, 594, 600]",Student
1,180,77,25,"[77, 228, 235, 125, 236, 168, 213, 229, 84, 209, 179, 44, 17, 26, 20, 25]",Student
1,181,78,9,"[78, 172, 236, 168, 213, 229, 84, 209, 179, 44, 17, 26, 1, 29, 9]",Student
1,182,490,25,"[490, 517, 499, 433, 463, 433, 461, 501, 441, 302, 179, 44, 17, 26, 20, 25]",Student
1,183,260,583,"[260, 263, 391, 378, 410, 334, 380, 404, 348, 373, 206, 55, 69, 41, 69, 55, 206, 373, 488, 593, 583]",Student
1,184,125,9,"[125, 236, 168, 213, 237, 214, 202, 201, 210, 206, 55, 69, 41, 69, 55, 206, 373, 488, 489, 433, 461, 501, 514, 402, 239, 70, 10, 8, 18, 29, 9]",Student
1,185,252,291,"[252, 394, 302, 441, 501, 461, 501, 441, 302, 394, 396, 291]",Student
1,186,38,303,"[38, 53, 44, 179, 302, 441, 501, 461, 501, 441, 568, 611, 579, 599, 442, 303]",Student
1,187,79,585,"[79, 209, 179, 302, 441, 501, 461, 501, 441, 568, 611, 594, 585]",Student
1,188,421,46,"[421, 490, 517, 499, 433, 463, 433, 461, 501, 441, 302, 179, 44, 53, 46]",Student
1,189,290,9,"[290, 294, 400, 346, 348, 373, 206, 55, 69, 41, 69, 55, 206, 373, 488, 489, 433, 461, 501, 514, 402, 239, 70, 10, 8, 18, 29, 9]",Student
1,190,375,29,"[375, 406, 343, 374, 342, 348, 373, 488, 489, 433, 461, 501, 514, 402, 239, 70, 10, 8, 18, 29]",Student
1,191,158,396,"[158, 231, 139, 210, 206, 373, 348, 404, 380, 334, 410, 378, 296, 397, 267, 396]",Student
1,192,80,44,"[80, 209, 179, 302, 441, 501, 461, 501, 441, 302, 179, 44]",Student
1,193,76,40,"[76, 209, 81, 225, 136, 231, 210, 206, 55, 69, 41, 40]",Student
1,194,211,9,"[211, 240, 147, 138, 231, 139, 210, 206, 373, 488, 489, 433, 461, 501, 514, 402, 239, 70, 10, 8, 18, 29, 9]",Student
1,195,267,234,"[267, 397, 296, 378, 410, 334, 380, 404, 348, 373, 206, 210, 201, 202, 214, 178, 112, 234]",Student
1,196,36,584,"[36, 53, 44, 179, 302, 441, 501, 461, 433, 489, 488, 593, 613, 584]",Student
1,197,81,618,"[81, 225, 136, 231, 210, 206, 55, 69, 41, 69, 55, 206, 373, 488, 593, 613, 620, 624, 618]",Student
1,198,260,9,"[260, 299, 397, 296, 378, 395, 394, 302, 179, 44, 17, 26, 1, 29, 9]",Student
1,199,228,25,"[228, 209, 81, 225, 136, 231, 210, 206, 55, 69, 41, 69, 55, 206, 373, 488, 489, 433, 461, 501, 441, 302, 179, 44, 17, 26, 20, 25]",Student
1,200,248,514,"[248, 394, 302, 441, 501, 461, 501, 514]",Student
1,201,227,377,"[227, 78, 172, 236, 168, 213, 237, 214, 202, 201, 210, 206, 373, 348, 404, 380, 328, 377]",Student
1,202,212,42,"[212, 229, 83, 82, 81, 225, 136, 231, 210, 206, 55, 69, 41, 69, 53, 42]",Student
1,203,81,173,"[81, 225, 134, 225, 81, 82, 83, 229, 232, 78, 106, 235, 173]",Student
1,204,81,26,"[81, 225, 134, 225, 81, 209, 179, 44, 17, 26]",Student
