Edge,Count,Most Common Agent Type
"(322, 396)",1,Academic
"(374, 334)",1,Academic
"(453, 492)",1,Academic
"(448, 432)",1,Academic
"(489, 476)",1,Academic
"(190, 235)",1,Academic
"(310, 247)",1,Academic
"(351, 348)",1,Academic
"(369, 410)",1,Academic
"(349, 348)",1,Academic
"(86, 214)",1,Academic
"(93, 210)",1,Academic
"(500, 489)",1,Staff
"(617, 616)",1,Student
"(620, 615)",1,Student
"(509, 440)",1,Student
"(81, 230)",1,Student
"(231, 237)",1,Student
"(215, 91)",1,Student
"(294, 290)",1,Student
"(229, 212)",1,Student
"(212, 171)",1,Student
"(171, 236)",1,Student
"(611, 533)",1,Student
"(533, 539)",1,Student
"(539, 550)",1,Student
"(209, 82)",1,Student
"(526, 577)",1,Academic
"(82, 230)",1,Student
"(432, 510)",1,Student
"(236, 172)",1,Student
"(172, 78)",1,Student
"(53, 31)",1,Student
"(29, 0)",1,Academic
"(394, 249)",1,Academic
"(246, 297)",1,Academic
"(325, 396)",1,Academic
"(336, 374)",1,Academic
"(531, 577)",1,Academic
"(473, 489)",1,Academic
"(355, 348)",1,Academic
"(368, 370)",1,Academic
"(370, 300)",1,Academic
"(328, 374)",1,Academic
"(311, 399)",1,Academic
"(286, 377)",1,Academic
"(161, 231)",1,Academic
"(85, 214)",1,Academic
"(459, 433)",1,Academic
"(132, 234)",1,Academic
"(186, 235)",1,Academic
"(524, 577)",1,Academic
"(104, 233)",1,Academic
"(251, 297)",1,Academic
"(175, 233)",1,Academic
"(176, 234)",1,Academic
"(476, 489)",1,Academic
"(300, 359)",1,Academic
"(88, 214)",1,Academic
"(162, 233)",1,Academic
"(313, 399)",1,Academic
"(436, 429)",1,Academic
"(367, 398)",1,Academic
"(89, 237)",1,Academic
"(491, 438)",1,Staff
"(372, 339)",1,Staff
"(71, 31)",1,Staff
"(577, 523)",1,Staff
"(71, 64)",1,Staff
"(207, 231)",1,Staff
"(204, 210)",1,Academic
"(456, 492)",1,Academic
"(435, 429)",1,Academic
"(329, 380)",1,Academic
"(359, 399)",1,Academic
"(316, 396)",1,Academic
"(265, 266)",1,Academic
"(266, 378)",1,Academic
"(131, 178)",1,Academic
"(229, 230)",1,Academic
"(589, 613)",1,Academic
"(101, 176)",1,Academic
"(358, 348)",1,Academic
"(318, 396)",1,Academic
"(359, 300)",1,Academic
"(300, 398)",1,Academic
"(437, 466)",1,Academic
"(105, 233)",1,Academic
"(92, 210)",1,Academic
"(470, 489)",1,Academic
"(364, 348)",1,Academic
"(95, 210)",1,Academic
"(451, 510)",1,Academic
"(554, 613)",1,Academic
"(161, 214)",1,Academic
"(434, 432)",1,Academic
"(157, 237)",1,Academic
"(146, 127)",1,Academic
"(475, 489)",1,Academic
"(564, 579)",1,Staff
