incidentradiation_all,roomnames_all,sunlighthours_all
0.0,HP4120T,0.0
0.0,HP4120J,0.0
0.0,HP4120G,0.0
0.0,HP4120F,0.0
0.0,HP4120E,0.0
0.0,HP4120B,0.0
0.0,HP4140G,0.0
180.376483,HP4140M,559.388889
174.837013,HP4140U,564.722222
182.716031,HP4140V,565.527778
183.886305,HP4140W,564.888889
161.596693,HP4140Q,560.5
177.907318,HP4140R,561.111111
173.63297,HP4140T,563.583333
168.921206,HP4140P,551.111111
177.188175,HP4140N,553.972222
171.614423,HP4140S,562.111111
190.826486,HP4140X,566.0
190.826486,HP4140Y,565.5
192.698521,HP4140Z,563.361111
23.696128,HP4120U,22.638889
23.696128,HP5120U,22.638889
23.696128,HP5120T,22.638889
23.696128,HP5120S,22.638889
0.0,HP5120J,0.0
23.696128,HP5120R,22.638889
23.696128,HP5120W,22.638889
27.685465,HP5120CC,21.527778
27.341507,HP5120AA,21.75
23.696128,HP5120Y,22.638889
26.700415,HP4120S,23.0
25.161806,HP4120R,22.833333
0.0,HP4140F,0.0
25.161806,HP4120Q,22.833333
23.696128,HP4120V,22.638889
27.385861,HP4120Z,21.5
27.036776,HP4120X,21.722222
23.696128,HP4120W,22.638889
0.0,HP3140H,0.0
158.559352,HP-C63D,461.086493
85.723065,HP6310,465.388889
0.0,HP6346,0.0
112.089498,HP6352,706.2375
0.0,HP6354,0.333333
0.0,HP6329,0.0
0.0,HP6305,0.0
0.0,HP6307A,0.0
0.0,HP6307,0.933824
180.376483,HP3140N,561.027778
174.837013,HP3140V,566.111111
182.716031,HP3140W,566.777778
183.886305,HP3140X,565.861111
161.596693,HP3140R,561.25
177.907318,HP3140S,562.444444
174.837013,HP3140U,564.75
168.921206,HP3140Q,552.888889
177.188175,HP3140P,555.888889
171.614423,HP3140T,563.777778
190.826486,HP3140Y,567.305556
190.826486,HP3140Z,566.972222
192.698521,HP3140AA,564.861111
0.0,HP1200,0.0
69.472224,HP1000A,412.071429
31.920249,HP2002A,465.108333
73.964985,HP2002B,609.144231
0.803518,HP2018,52.708333
0.0,HP-EL-2,0.0
70.988398,HP-ST-202,167.909483
47.331301,HP-ST-201,123.364035
0.0,HP-EL-2,0.0
0.0,HP6019,0.527778
54.428717,HP-ST-401,124.105
62.474183,HP-ST-402,125.683962
0.0,HP4018,0.0
0.0,HP-EL-2,0.0
71.429347,HP-ST-502,154.685
0.0,HP5019,0.0
0.0,HP-EL-2,0.0
65.532138,HP-ST-501,130.49
66.379313,HP-ST-301,131.683673
65.461835,HP-ST-302,133.39
0.0,HP3018,0.0
0.0,HP-EL-2,0.0
36.650761,HP2103,128.046823
5.658979,HP3130B,1.006579
46.69049,HP3130A,12.5
5.658979,HP4130B,0.881579
45.050885,HP4130A,10.21875
461.385998,HP5130A,1372.03125
343.910081,HP5130B,1248.764706
0.0,HP2001C,0.0
22.705978,HP2000,162.54878
0.0,HP2303,0.0
0.0,HP5120G,0.0
0.0,HP5120X,0.0
0.0,HP5120Z,0.0
0.0,HP5120E,0.0
23.696128,HP3140HH,22.833333
12.040585,HP-C50A,22.621622
23.696128,HP3120S,22.75
0.0,HP3140E,0.0
188.382795,HP3140BB,615.983333
0.0,HP3140M,0.0
0.0,HP3140L,0.0
0.0,HP3140J,0.0
0.0,HP3140K,0.0
0.0,HP3130C,0.0
0.0,HP3120H,0.0
0.0,HP3140G,0.0
58.597958,HP3110T,327.5625
74.469764,HP3110S,431.75
0.0,HP5120A,0.0
46.263523,HP5100A,3.71875
0.0,HP5120C,0.0
0.0,HP5120BB,0.0
0.0,HP5159J,0.1875
0.0,HP5159H,0.0
0.0,HP5159G,0.0
0.0,HP5120P,0.0
0.600751,HP5159F,15.6875
0.0,HP5161E,0.0
0.0,HP5159D,10.125
0.0,HP4140L,0.0
0.0,HP4140K,0.0
0.0,HP4140J,0.0
0.0,HP4130C,0.0
0.0,HP4120C,0.0
44.92474,1433,27.833333
0.0,HP4120A,0.0
1.820145,HP4133,16.821429
44.359882,HP4100A,3.71875
187.999893,HP4140BB,613.433333
0.0,HP4120Y,0.0
0.0,HP4149F,0.0
0.0,HP4149E,0.0
0.0,HP4149D,0.0
0.0,HP4120N,0.0
0.0,HP4149C,0.0
0.0,HP4149B,0.0
0.0,HP4149A,0.0
0.0,HP4161J,2.375
0.0,HP4161H,14.125
0.849408,HP4161G,26.3125
0.431276,HP4161M,0.4375
0.222428,HP4161L,1.75
4.081793,HP4161K,52.5625
0.0,HP4161C,7.1875
1.274111,HP4161B,10.5625
0.39873,HP4161A,10.3125
0.367691,HP4161F,4.3125
0.849408,HP4161E,14.625
0.424704,HP4161D,17.75
0.0,HP4140A,0.0
0.0,HP4120AA,0.0
74.469764,HP3110R,431.722222
23.696128,HP3120R,22.75
0.0,HP3120D,0.0
0.0,HP3120M,0.0
0.0,HP3120A,0.0
8.530718,1384,2.5
0.0,HP3120K,0.0
2.154519,HP3133,20.285714
0.799286,HP3154C,0.125
41.907989,HP3100A,6.59375
0.81115,HP3134A,0.0
0.0,HP3120C,0.0
0.0,HP3120X,0.0
0.0,HP3101B,0.5
0.0,HP3101A,0.0
20.520889,HP3120P,15.166667
0.0,HP3101D,2.1875
0.0,HP3101C,0.0
0.0,HP3110U,0.0
0.0,HP3140D,0.0
0.0,HP3140C,0.0
107.717868,HP3110F,424.966667
0.0,HP3149F,0.0
0.0,HP3149E,0.0
0.0,HP3149D,0.0
0.0,HP6302,0.0
105.785542,HP3308,251.826389
87.707561,HP2312,195.08046
67.742359,HP4306,175.628788
0.0,HP4151,0.0
0.0,HP4140B,0.0
0.0,HP3011,0.0
0.0,HP3017,0.0
0.0,HP3015,0.0
0.0,HP3010,0.0
0.0,HP3013,0.0
9.346234,HP3010B,69.548931
0.0,HP3012,0.0
22.466039,HP3110C,2.166667
23.696128,HP3140GG,22.833333
0.0,HP3120N,0.0
0.0,HP3149C,0.0
0.0,HP3149B,0.0
0.0,HP3149A,0.0
0.0,HP4140C,0.0
0.0,HP4205,0.0
0.0,HP4205A,0.0
0.0,HP4155,0.0
0.0,HP4157,0.0
0.0,HP4153,0.0
0.0,HP3140B,0.0
23.696128,HP3120Q,22.75
0.0,HP3151,0.0
63.821992,HP2302,186.490683
42.222677,HP2310,114.989011
0.0,HP3161J,2.875
0.0,HP3161H,17.125
0.849408,HP3161G,30.6875
0.431276,HP3161M,0.4375
0.222428,HP3161L,1.875
8.026988,HP3161K,61.375
0.0,HP3161C,8.25
1.274111,HP3161B,12.3125
0.39873,HP3161A,12.0625
0.367691,HP3161F,5.4375
0.849408,HP3161E,17.0
0.424704,HP3161D,21.3125
0.0,HP3140A,0.0
0.0,HP3120AA,0.0
74.469764,HP3110Q,431.722222
23.696128,HP3120V,22.75
0.0,HP3155,0.0
0.0,HP3157,0.0
0.0,HP3153,0.0
0.0,HP2202,0.0
17.732894,HP2102,97.477679
18.001733,HP2106,98.28125
6.646389,HP6320,0.166667
9.895672,HP6326,16.208333
111.328604,HP6312,484.666667
9.462816,HP6318,22.583333
73.317017,HP6306,314.229167
21.720977,HP6100E,27.551724
63.768793,HP6100K,366.180556
28.731803,HP3120Z,21.666667
27.341507,HP3120Y,21.666667
23.043257,HP3110D,1.166667
23.696128,HP3140DD,22.833333
23.696128,HP3140EE,22.833333
23.696128,HP3140FF,22.833333
0.0,HP6100R,0.0
0.0,HP6100S,0.0
0.0,HP6100V,0.0
74.272602,HP6100N,428.277778
41.303095,HP6100H,257.833333
41.303095,HP6100J,257.833333
91.377382,HP6100G,381.65625
74.203792,HP6100M,429.25
5.303425,HP6332,43.25
0.0,HP6214,0.0
0.0,HP6208,0.0
69.844326,HP6304,404.271429
0.0,HP6325,0.0
185.067816,HP6316,432.980263
202.005667,HP6314,659.608108
183.95637,HP6324,413.730263
167.82244,HP6322,409.77027
0.0,HP6323,0.0
98.661881,HP6308,519.5
0.0,HP6202,0.0
0.0,HP6202A,0.0
0.0,HP6212,0.0
0.0,HP6210,0.0
115.044546,HP5302,511.967988
70.104256,HP5304,183.806818
0.0,HP5208,0.0
0.0,HP5206,0.0
74.537806,HP5306,223.761957
0.0,HP5202,0.0
116.170739,HP4302,512.382622
0.0,HP4206,0.0
0.0,HP4208,0.0
0.0,HP4207,0.0
0.0,HP4204,0.0
0.0,HP4210,0.0
76.011383,HP4308,194.990385
74.561686,HP4304,215.729008
107.590843,HP3302,498.741722
74.469764,HP3110P,431.75
74.469764,HP3110N,431.75
75.145343,HP3110M,431.027778
60.998336,HP3110J,356.25
59.147997,HP3110K,318.833333
61.579945,HP3110H,349.583333
61.579945,HP3110G,346.25
0.0,HP3140F,0.0
0.0,HP3120T,0.0
0.0,HP3120J,0.0
0.0,HP3120G,0.0
0.0,HP3120F,0.0
0.0,HP3120E,0.0
0.0,HP3120B,0.0
0.0,HP3206,0.0
0.0,HP3208,0.0
