roomnames,daylightfactor,standardeffectivetemperature,predictedmeanvote,generalcomfort,thermalstatusdryhumid,Level
HP3010C,0.0,30.234997,0.106985,0.119977,0.029566,3
HP2302T,0.0,30.234997,0.106985,0.119977,0.029566,3
HP3004,0.0,30.234997,0.106985,0.119977,0.029566,3
HP3005,0.0,31.044649,0.438978,0.122603,0.103653,3
HP-C30B,0.0,30.234997,0.106985,0.119977,0.029566,3
HP3001,0.0,30.234997,0.106985,0.119977,0.029566,3
HP-C30A,0.0,30.234997,0.106985,0.119977,0.029566,3
HP3014,0.0,30.234997,0.106985,0.119977,0.029566,3
HP5215,0.0,30.234997,0.106985,0.119977,0.029566,3
HP-C31B,0.0,30.234997,0.106985,0.119977,0.029566,3
HP-C31D,0.0,30.234997,0.106985,0.119977,0.029566,3
HP-C31F,0.0,30.234997,0.106985,0.119977,0.029566,3
HP5220,0.0,30.234997,0.106985,0.119977,0.029566,3
HP3130D,0.0,30.234997,0.106985,0.119977,0.029566,3
HP3207,0.0,30.234997,0.106985,0.119977,0.029566,3
HP-EL-1,0.0,30.234997,0.106985,0.119977,0.029566,3
HP3110UA,0.0,30.234997,0.106985,0.119977,0.029566,3
HP3304B,0.0,30.234997,0.106985,0.119977,0.029566,3
HP3157A,0.0,30.234997,0.106985,0.119977,0.029566,3
HP3010D,0.0,30.234997,0.106985,0.119977,0.029566,3
HP2306E,0.0,30.423245,0.18008,0.114269,0.045091,3
HP4110F,0.0,28.405627,-0.999023,0.083562,-0.156393,4
HP4140E,0.0,28.157577,-1.164895,0.086187,-0.179566,4
HP4140H,0.0,28.157577,-1.164895,0.086187,-0.179566,4
HP4310,1.232714,28.506602,-0.871849,0.088128,-0.142694,4
HP4312,1.551711,29.450333,-0.262603,0.101712,-0.044406,4
HP4202,0.0,29.178967,-0.415615,0.096233,-0.07089,4
HP4140D,0.0,30.234997,0.106985,0.119977,0.029566,4
HP4304,1.323787,30.234997,0.106985,0.119977,0.029566,4
HP4308,0.790571,30.234997,0.106985,0.119977,0.029566,4
HP4210,0.0,30.234997,0.106985,0.119977,0.029566,4
HP4204,0.0,30.234997,0.106985,0.119977,0.029566,4
HP4207,0.0,30.234997,0.106985,0.119977,0.029566,4
HP4208,0.0,30.234997,0.106985,0.119977,0.029566,4
HP4206,0.0,30.234997,0.106985,0.119977,0.029566,4
HP4302,1.462023,30.282798,0.124814,0.119292,0.033219,4
HP4153,0.0,30.234997,0.106985,0.119977,0.029566,4
HP4157,0.0,30.234997,0.106985,0.119977,0.029566,4
HP4155,0.0,30.234997,0.106985,0.119977,0.029566,4
HP4205A,0.0,30.234997,0.106985,0.119977,0.029566,4
HP4205,0.0,30.234997,0.106985,0.119977,0.029566,4
HP4140C,0.0,30.234997,0.106985,0.119977,0.029566,4
HP4140B,0.0,30.234997,0.106985,0.119977,0.029566,4
HP4151,0.0,30.234997,0.106985,0.119977,0.029566,4
HP4306,1.191303,30.234997,0.106985,0.119977,0.029566,4
HP4120AA,0.0,30.234997,0.106985,0.119977,0.029566,4
HP4140A,0.0,30.234997,0.106985,0.119977,0.029566,4
HP4161D,0.0,30.234997,0.106985,0.119977,0.029566,4
HP4161E,0.0,30.234997,0.106985,0.119977,0.029566,4
HP4161F,0.0,30.234997,0.106985,0.119977,0.029566,4
HP4161A,0.0,30.234997,0.106985,0.119977,0.029566,4
HP4161B,0.0,30.234997,0.106985,0.119977,0.029566,4
HP4161C,0.0,30.234997,0.106985,0.119977,0.029566,4
HP4161K,0.0,30.234997,0.106985,0.119977,0.029566,4
HP4161L,0.0,30.234997,0.106985,0.119977,0.029566,4
HP4161M,0.0,30.234997,0.106985,0.119977,0.029566,4
HP4161G,0.0,30.234997,0.106985,0.119977,0.029566,4
HP4161H,0.0,30.234997,0.106985,0.119977,0.029566,4
HP4161J,0.0,30.234997,0.106985,0.119977,0.029566,4
HP4149A,0.0,30.234997,0.106985,0.119977,0.029566,4
HP4149B,0.0,30.234997,0.106985,0.119977,0.029566,4
HP4149C,0.0,30.234997,0.106985,0.119977,0.029566,4
HP4120N,0.0,30.234997,0.106985,0.119977,0.029566,4
HP4149D,0.0,30.234997,0.106985,0.119977,0.029566,4
HP4149E,0.0,30.234997,0.106985,0.119977,0.029566,4
HP4149F,0.0,30.234997,0.106985,0.119977,0.029566,4
HP4120Y,0.0,30.234997,0.106985,0.119977,0.029566,4
HP4140BB,2.310499,30.234997,0.106985,0.119977,0.029566,4
HP4100A,0.0,30.370517,0.158417,0.118721,0.040639,4
HP4133,0.0,30.234997,0.106985,0.119977,0.029566,4
HP4120A,0.0,30.234997,0.106985,0.119977,0.029566,4
1433,0.0,30.260044,0.116412,0.119292,0.031621,4
HP4120C,0.0,30.234997,0.106985,0.119977,0.029566,4
HP4130C,0.0,30.234997,0.106985,0.119977,0.029566,4
HP4140J,0.0,30.234997,0.106985,0.119977,0.029566,4
HP4140K,0.0,30.234997,0.106985,0.119977,0.029566,4
HP4140L,0.0,30.234997,0.106985,0.119977,0.029566,4
HP4130A,0.0,30.348103,0.149818,0.118836,0.038699,4
HP4130B,0.0,30.234997,0.106985,0.119977,0.029566,4
HP-EL-2,0.0,30.234997,0.106985,0.119977,0.029566,4
HP4018,0.0,30.234997,0.106985,0.119977,0.029566,4
HP-ST-402,0.545496,30.303067,0.132653,0.119521,0.035502,4
HP-ST-401,0.654174,30.34614,0.149067,0.118836,0.038699,4
HP4120W,3.32548,30.303067,0.132653,0.119521,0.035502,4
HP4120X,3.405532,30.303067,0.132653,0.119521,0.035502,4
HP4120Z,3.494459,30.303067,0.132653,0.119521,0.035502,4
HP4120V,3.310803,30.303067,0.132653,0.119521,0.035502,4
HP4120Q,3.303044,30.303067,0.132653,0.119521,0.035502,4
HP4140F,0.0,30.234997,0.106985,0.119977,0.029566,4
HP4120R,3.343411,30.303067,0.132653,0.119521,0.035502,4
HP4120S,3.347299,30.303067,0.132653,0.119521,0.035502,4
HP4120U,0.002409,30.303067,0.132653,0.119521,0.035502,4
HP4140Z,3.621027,30.234997,0.106985,0.119977,0.029566,4
HP4140Y,3.666657,30.234997,0.106985,0.119977,0.029566,4
HP4140X,0.001013,30.234997,0.106985,0.119977,0.029566,4
HP4140S,0.0,30.234997,0.106985,0.119977,0.029566,4
HP4140N,3.626758,30.234997,0.106985,0.119977,0.029566,4
HP4140P,3.611374,30.234997,0.106985,0.119977,0.029566,4
HP4140T,0.0,30.234997,0.106985,0.119977,0.029566,4
HP4140R,0.0,30.234997,0.106985,0.119977,0.029566,4
HP4140Q,3.580834,30.234997,0.106985,0.119977,0.029566,4
HP4140W,0.0,30.234997,0.106985,0.119977,0.029566,4
HP4140V,3.588731,30.234997,0.106985,0.119977,0.029566,4
HP4140U,0.001508,30.234997,0.106985,0.119977,0.029566,4
HP4140M,3.625178,30.234997,0.106985,0.119977,0.029566,4
HP4140G,0.0,30.234997,0.106985,0.119977,0.029566,4
HP4120B,0.0,30.234997,0.106985,0.119977,0.029566,4
HP4120E,0.0,30.234997,0.106985,0.119977,0.029566,4
HP4120F,0.0,30.234997,0.106985,0.119977,0.029566,4
HP4120G,0.0,30.234997,0.106985,0.119977,0.029566,4
HP4120J,0.0,30.234997,0.106985,0.119977,0.029566,4
HP4120T,0.0,30.234997,0.106985,0.119977,0.029566,4
HP4120M,0.0,30.234997,0.106985,0.119977,0.029566,4
HP4120H,0.0,30.234997,0.106985,0.119977,0.029566,4
HP4120D,0.0,30.234997,0.106985,0.119977,0.029566,4
HP4010A,0.0,30.234997,0.106985,0.119977,0.029566,4
HP4010,0.0,30.234997,0.106985,0.119977,0.029566,4
HP4012,0.0,30.234997,0.106985,0.119977,0.029566,4
HP4013,0.0,30.234997,0.106985,0.119977,0.029566,4
HP4015,0.0,30.234997,0.106985,0.119977,0.029566,4
HP4015,0.0,30.234997,0.106985,0.119977,0.029566,4
HP4011,0.0,30.234997,0.106985,0.119977,0.029566,4
HP4110U,0.0,30.234997,0.106985,0.119977,0.029566,4
HP4121A,0.0,30.234997,0.106985,0.119977,0.029566,4
HP4121B,0.0,30.234997,0.106985,0.119977,0.029566,4
HP4110A,0.0,30.234997,0.106985,0.119977,0.029566,4
HP4121C,0.0,30.234997,0.106985,0.119977,0.029566,4
HP4154C,0.0,30.234997,0.106985,0.119977,0.029566,4
HP4134A,0.0,30.234997,0.106985,0.119977,0.029566,4
HP4134B,0.0,30.234997,0.106985,0.119977,0.029566,4
HP-C41A,0.0,30.234997,0.106985,0.119977,0.029566,4
HP4110G,0.0,30.305006,0.13331,0.119521,0.035731,4
HP4110H,2.720535,30.305286,0.1334,0.119521,0.035731,4
HP4110J,2.703456,30.305682,0.133527,0.119521,0.035731,4
HP4110K,0.0,30.303792,0.132905,0.119406,0.035616,4
HP4110M,0.0,30.309636,0.134723,0.119635,0.035616,4
HP4110N,0.0,30.309636,0.134723,0.119635,0.035616,4
